Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,23-May,,5.5cc,"4cc medium bubbles, 1.5cc small bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 1000ppm CapB, 1.5% APG (167)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,21-Jun,,9cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,26-Jun,,2cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 1.7% APG (180)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,21-Jun,,9cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,26-Jun,,6cc,Large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,25-Jul,,7cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,26-Jul,,7cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,27-Jun,,8.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,28-Jun,,7.5cc,Medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Jul,,4.5cc,"Small, compact bubbles ",,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Aug,,3.25cc,Small bubbles ,,5.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Aug,,3cc,Small bubbles ,,5.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Jul,,4cc,"Small, compact bubbles ",,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Aug,,3.5cc,Small bubbles ,,5.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Aug,,3cc,Small bubbles ,,5.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Jul,,4.5cc,"Small, compact bubbles ",,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,01-Aug,,4cc,Small bubbles ,,5.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,02-Aug,,0cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
200x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,01-Oct,,3cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
70x Dilution,leftover from transfer vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,22-Nov,,4cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,4,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-Oct,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,1.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,New brine (3cc dilution) - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,4.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,New brine (3cc dilution) - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,2.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200x Dilution,New brine (3cc dilution) - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,1.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 14% Citric, 800ppm CapB, 1.7% APG (254)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,07-Aug,,8.5cc,"Small, compact bubbles ",,4.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,08-Aug,,7cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,09-Aug,,6.5cc,Medium bubbles,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,08-Aug,,4.25cc,"Small, compact bubbles ",,4.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,09-Aug,,3.25cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,5.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,4.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,2.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,1.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,New brine - Sonicated - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,New brine - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,4.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,New brine - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,New brine - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.25,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
150x Dilution,New brine - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,3.5,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
200x Dilution,New brine - Stir bar - RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,31-Oct,,1.75,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 14% Citric, 800ppm CapB, 1.7% APG (255)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,07-Aug,,8.5cc,"Small, compact bubbles ",,4.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,08-Aug,,7cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,09-Aug,,6.5cc,Medium bubbles,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,water,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,08-Aug,,5cc,"Small, compact bubbles ",,4.5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,09-Aug,,4cc,Small bubbles ,,5cc,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 1.7% APG (334)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution,no sonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-Nov-24,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-Nov-24,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-Nov-24,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-Nov-24,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-Nov-24,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-Nov-24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-Nov-24,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-Nov-24,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-Nov-24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-Nov-24,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-Nov-24,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-Nov-24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,06-Nov-24,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,07-Nov-24,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,08-Nov-24,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 1.7% APG (334)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,sonicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,12-Nov,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,13-Nov,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 800ppm CapB, 1.7% APG (334)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,not sonicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,12-Nov,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1 (morning),13-Nov,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 400ppm CapB, 1.5% APG (359)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,14-Nov,,4cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,15-Nov,,3cc,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0,14-Nov,,3.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,15-Nov,,2.5cc,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 3% APG (371)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,Zeta,Conductivity ,Size ,PI,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,6cc,"Small, compact bubbles ",,,-12.05,11.76,117.8,0.7677,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 800ppm CapB, 4% APG (372)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,6.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 600ppm CapB, 3% APG (373)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,Zeta,Conductivity ,Size ,PI,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.75cc,"Small, compact bubbles ",,,-13.18,11.9,165.6,0.3657,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 600ppm CapB, 4% APG (374)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,6cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 400ppm CapB, 3% APG (375)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 400ppm CapB, 4% APG (376)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,6.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 3% APG (377)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 14% Citric, 4% APG (378)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.5cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 200ppm CapB, 4% APG (380) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4.75cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 200ppm CapB, 3% APG (381) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4.25cc,"Small, compact bubbles ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 400ppm CapB, 4% APG (382) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,Zeta,Conductivity ,Size ,PI,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,5.25cc,"Small, compact bubbles ",,,-14.58,11.52,468.7,0.503,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 400ppm CapB, 3% APG (383)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,Zeta,Conductivity ,Size ,PI,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,15-Nov,,4cc,"Small, compact bubbles ",,,-12.46,11.2,149.8,0.4434,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 400ppm CapB, 2% APG (384) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
