start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 18% citric, 1200ppm Cap B, 1.1% APG (18) - April 11 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,01-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 16% citric, 1200ppm Cap B, 1.1% APG (17) - April 10 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,01-May-24,4.05,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 64,03-Jul-24,,"Brine precipitate, clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1200ppm Cap B, 1.1% APG (5) - April 10 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 11,06-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,26-Apr-24,,Gel like precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1200ppm Cap B, 1.1% APG (5) - April 10 - Room Temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 27,23-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 21,17-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,25-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 20,16-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 12% citric, 1200ppm Cap B, 1.1% APG (136) - April 10 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,03-May-24,,Cloudy solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 11,07-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 12% citric, 1200ppm Cap B, 1.1% APG (136) - April 10 - Room Temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 27,23-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 21,17-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 20,16-May-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 16% citric, 1200ppm Cap B, 1.1% APG (138) - April 10 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,01-May-24,4.17,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 62,03-Jul-24,,"Brine precipitate, clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 16% citric, 1200ppm Cap B, 1.1% APG (138) - April 10 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 14,10-May-24,,Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,01-May-24,,Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,01-May-24,,Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 10% citric, 1200ppm Cap B, 1.1% APG (8) - April 26 - 70C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,06-May-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,26-Apr-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,30-Apr-24,,Gel Precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1200ppm Cap B, 1.1% APG (137) - May 2 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-May-24,4.05,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 65,04-Jul-24,,"Brine precipitate, clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-May-24,6.36,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 37,06-Jun-24,,Flaky precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 18% citric, 1200ppm Cap B, 1.1% APG (126) - April 10 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,01-May-24,4.07,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 65,04-Jul-24,,Brine precipitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,01-May-24,6.3,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 48,17-Jun-24,,Flaky precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1200ppm Cap B, 1.1% APG (5) - April 10 - 29C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-May-24,4.27,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 32,14-Jun-24,,Flaky precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,13-May-24,6,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,21-May-24,,Flaky precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20% HS40, 20% citric, 1800ppm Cap B, 2% APG (153) - May 23 - 55C - Gel precipitate June 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100x Dilution ,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,23-May-24,,Clear solution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 25,17-Jun-24,,Gel precipitate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1200ppm Cap B, 1.3% APG (160)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 39,05-Jul-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 23,19-Jun-24,,Small precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1200ppm Cap B, 1.5% APG (161)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 37,04-Jul-24,,"Small gel at bottom, clear solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 37,04-Jul-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1000ppm Cap B, 1.3% APG (162)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 38,05-Jul-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,06-Jun-24,,Small particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS40, 14% citric, 1000ppm Cap B, 1.3% APG (164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1000ppm Cap B, 1.5% APG (163)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS40, 14% citric, 1000ppm Cap B, 1.5% APG (165)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 70,06-Aug-24,,"Very small gel at bottom, clear solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 38,05-Jul-24,,"Very small gel at bottom, clear solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1000ppm Cap B, 1.3% APG (166)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 71,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1000ppm Cap B, 1.5% APG (167)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,(unstable RT concentrate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,3.65,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 42,09-Jul-24,,Significant particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,28-May-24,5.73,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,06-Jun-24,,Particle precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS40, 14% citric, 1300ppm Cap B, 1.5% APG (168)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,Temp 29C,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,29-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 70,06-Aug-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,29-May-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 23,20-Jun-24,,Small precipitate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS40, 14% citric, 1200ppm Cap B, 1.7% APG (170)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,Removed for space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,pH,Observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Jun-24,,Clear solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
